scientific_name,latitude,longitude,url,image_url,observed_on,phenology,year,month
Yucca brevifolia,35.3610412043,-117.9810446337,https://www.inaturalist.org/observations/67949294,https://static.inaturalist.org/photos/109913362/medium.jpeg,2009-10-17,No Evidence of Flowering,2009,10
Yucca jaegeriana,36.690212,-115.108346,https://www.inaturalist.org/observations/67577515,https://inaturalist-open-data.s3.amazonaws.com/photos/109216568/medium.jpg,2009-03-20,No Evidence of Flowering,2009,3
Yucca brevifolia,34.0307998123,-116.1454930902,https://www.inaturalist.org/observations/7586056,https://inaturalist-open-data.s3.amazonaws.com/photos/9910238/medium.jpg,2009-01-01,No Evidence of Flowering,2009,1
Yucca brevifolia,34.03127,-116.146013,https://www.inaturalist.org/observations/7575153,https://inaturalist-open-data.s3.amazonaws.com/photos/9893716/medium.jpg,2009-01-01,No Evidence of Flowering,2009,1
Yucca brevifolia,35.6637592225,-118.0274105072,https://www.inaturalist.org/observations/5141283,https://inaturalist-open-data.s3.amazonaws.com/photos/6330240/medium.jpeg,2009-12-24,No Evidence of Flowering,2009,12
Yucca brevifolia,34.0268522954,-116.1426097127,http://www.inaturalist.org/observations/65275,https://inaturalist-open-data.s3.amazonaws.com/photos/99655/medium.JPG,2009-03-30,No Evidence of Flowering,2009,3
Yucca brevifolia,33.9458182909,-116.1540466519,http://www.inaturalist.org/observations/65269,https://inaturalist-open-data.s3.amazonaws.com/photos/99649/medium.JPG,2009-03-30,No Evidence of Flowering,2009,3
Yucca brevifolia,34.0126509099,-116.1681228848,http://www.inaturalist.org/observations/65250,https://inaturalist-open-data.s3.amazonaws.com/photos/99631/medium.JPG,2009-03-30,No Evidence of Flowering,2009,3
Yucca jaegeriana,35.4139585,-114.1985922,http://www.inaturalist.org/observations/60378,https://inaturalist-open-data.s3.amazonaws.com/photos/93489/medium.JPG,2009-05-27,No Evidence of Flowering,2009,5
Yucca brevifolia,37.4682000485,-117.7490271869,https://www.inaturalist.org/observations/297190898,https://inaturalist-open-data.s3.amazonaws.com/photos/535203834/medium.jpg,2010-06-27,Flower Budding,2010,6
Yucca brevifolia,37.4676469067,-117.7492935349,https://www.inaturalist.org/observations/297189430,https://inaturalist-open-data.s3.amazonaws.com/photos/535197494/medium.jpg,2010-06-27,Flower Budding,2010,6
Yucca brevifolia,33.9948273211,-116.1639030374,https://www.inaturalist.org/observations/104605025,https://inaturalist-open-data.s3.amazonaws.com/photos/175312807/medium.jpeg,2010-04-22,Flowering,2010,4
Yucca brevifolia,34.7537520112,-118.4932446356,https://www.inaturalist.org/observations/104597596,https://inaturalist-open-data.s3.amazonaws.com/photos/175298742/medium.jpeg,2010-04-20,Flowering,2010,4
Yucca jaegeriana,37.3485248918,-115.0967284214,https://www.inaturalist.org/observations/184974538,https://inaturalist-open-data.s3.amazonaws.com/photos/322970875/medium.jpeg,2010-10-21,No Evidence of Flowering,2010,10
Yucca jaegeriana,37.3452036173,-115.1147441757,https://www.inaturalist.org/observations/184974387,https://inaturalist-open-data.s3.amazonaws.com/photos/322970445/medium.jpeg,2010-10-21,No Evidence of Flowering,2010,10
Yucca jaegeriana,37.0235981875,-114.987060725,https://www.inaturalist.org/observations/184973084,https://inaturalist-open-data.s3.amazonaws.com/photos/322967743/medium.jpeg,2010-10-21,No Evidence of Flowering,2010,10
Yucca brevifolia,34.0059667993,-116.1645104724,https://www.inaturalist.org/observations/182672843,https://inaturalist-open-data.s3.amazonaws.com/photos/318543839/medium.jpg,2010-08-25,No Evidence of Flowering,2010,8
Yucca jaegeriana,34.7914525913,-115.6213395921,https://www.inaturalist.org/observations/160907614,https://static.inaturalist.org/photos/278088905/medium.jpg,2010-04-24,No Evidence of Flowering,2010,4
Yucca jaegeriana,35.469674767,-115.513686128,https://www.inaturalist.org/observations/112995898,https://inaturalist-open-data.s3.amazonaws.com/photos/190907136/medium.jpeg,2010-08-07,No Evidence of Flowering,2010,8
Yucca brevifolia,34.0219517,-116.1816723,https://www.inaturalist.org/observations/108769173,https://inaturalist-open-data.s3.amazonaws.com/photos/183193528/medium.jpeg,2010-03-03,No Evidence of Flowering,2010,3
Yucca brevifolia,33.9917406635,-116.0677869442,https://www.inaturalist.org/observations/104604937,https://inaturalist-open-data.s3.amazonaws.com/photos/175312674/medium.jpeg,2010-04-22,No Evidence of Flowering,2010,4
Yucca brevifolia,34.0628700502,-116.1939640442,https://www.inaturalist.org/observations/100111189,https://inaturalist-open-data.s3.amazonaws.com/photos/167040318/medium.jpeg,2010-03-02,No Evidence of Flowering,2010,3
Yucca jaegeriana,37.1299602285,-113.8738637613,https://www.inaturalist.org/observations/77916119,https://inaturalist-open-data.s3.amazonaws.com/photos/127458964/medium.jpg,2010-05-09,No Evidence of Flowering,2010,5
Yucca brevifolia,34.4729225692,-118.0225242074,https://www.inaturalist.org/observations/72243266,https://inaturalist-open-data.s3.amazonaws.com/photos/117753102/medium.jpeg,2010-05-09,No Evidence of Flowering,2010,5
Yucca brevifolia,34.0110146625,-116.1682635925,https://www.inaturalist.org/observations/58911201,https://static.inaturalist.org/photos/94086249/medium.jpeg,2010-08-31,No Evidence of Flowering,2010,8
Yucca jaegeriana,36.9505418,-113.7943459,https://www.inaturalist.org/observations/10027700,https://inaturalist-open-data.s3.amazonaws.com/photos/13791728/medium.jpg,2010-05-21,No Evidence of Flowering,2010,5
Yucca jaegeriana,35.8546020781,-115.4911994934,https://www.inaturalist.org/observations/4793684,https://inaturalist-open-data.s3.amazonaws.com/photos/5843048/medium.jpeg,2010-09-11,No Evidence of Flowering,2010,9
Yucca jaegeriana,35.5126461286,-115.0746631622,https://www.inaturalist.org/observations/4780637,https://inaturalist-open-data.s3.amazonaws.com/photos/5824180/medium.jpeg,2010-09-19,No Evidence of Flowering,2010,9
Yucca jaegeriana,35.5141234126,-115.1300668716,https://www.inaturalist.org/observations/4780636,https://inaturalist-open-data.s3.amazonaws.com/photos/5824175/medium.jpeg,2010-09-19,No Evidence of Flowering,2010,9
Yucca jaegeriana,35.4869316562,-115.1781749725,https://www.inaturalist.org/observations/4780632,https://inaturalist-open-data.s3.amazonaws.com/photos/5824164/medium.jpeg,2010-09-19,No Evidence of Flowering,2010,9
Yucca jaegeriana,35.822038376,-115.4445075989,https://www.inaturalist.org/observations/4780488,https://inaturalist-open-data.s3.amazonaws.com/photos/5823900/medium.jpeg,2010-09-11,No Evidence of Flowering,2010,9
Yucca jaegeriana,35.7462397975,-114.132027626,https://www.inaturalist.org/observations/4780249,https://inaturalist-open-data.s3.amazonaws.com/photos/5823567/medium.jpeg,2010-07-24,No Evidence of Flowering,2010,7
Yucca jaegeriana,35.6337072759,-114.246356785,https://www.inaturalist.org/observations/4780229,https://inaturalist-open-data.s3.amazonaws.com/photos/5823557/medium.jpeg,2010-07-24,No Evidence of Flowering,2010,7
Yucca jaegeriana,35.6378839563,-114.2436075211,https://www.inaturalist.org/observations/4780225,https://inaturalist-open-data.s3.amazonaws.com/photos/5823544/medium.jpeg,2010-07-24,No Evidence of Flowering,2010,7
Yucca jaegeriana,35.8634465916,-115.486779213,https://www.inaturalist.org/observations/4776055,https://inaturalist-open-data.s3.amazonaws.com/photos/5816716/medium.jpeg,2010-09-19,No Evidence of Flowering,2010,9
Yucca brevifolia,36.8060548413,-117.510881424,http://www.inaturalist.org/observations/182732,https://static.inaturalist.org/photos/237500/medium.jpg,2010-04-06,No Evidence of Flowering,2010,4
